,MBSD_104.counts,MBSD_106.counts,MBSD_110.counts,MBSD_114.counts,MBSD_119.counts,MBSD_123.counts,MBSD_156.counts,MBSD_158.counts,MBSD_162.counts,MBSD_166.counts,MBSD_168.counts,MBSD_173.counts,X177_coldM_geno1,X182_coldM_geno1,X187_coldM_geno1,X192_coldM_geno1,X194_coldM_geno1,X198_coldM_geno1,X177_coldM_geno2,X182_coldM_geno2,X187_coldM_geno2,X192_coldM_geno2,X194_coldM_geno2,X198_coldM_geno2
ENSMUSG00000040865,1211.0,662.0,1164.0,1058.0,920.0,707.0,565.0,781.0,748.0,879.0,970.0,831.0,34.0,20.0,23.0,29.0,30.0,9.0,21.0,31.0,25.0,39.0,22.0,9.0
ENSMUSG00000040883,1051.0,404.0,975.0,402.0,583.0,567.0,419.0,524.0,541.0,873.0,776.0,790.0,75.0,80.0,33.0,85.0,54.0,20.0,83.0,95.0,42.0,97.0,79.0,45.0
ENSMUSG00000040888,891.0,337.0,769.0,402.0,420.0,407.0,325.0,404.0,454.0,578.0,482.0,540.0,11.0,31.0,16.0,14.0,16.0,8.0,27.0,26.0,17.0,25.0,15.0,8.0
ENSMUSG00000040913,659.0,261.0,444.0,348.0,326.0,282.0,226.0,284.0,284.0,432.0,326.0,433.0,17.0,14.0,15.0,23.0,28.0,4.0,26.0,30.0,10.0,14.0,19.0,2.0
ENSMUSG00000040918,192.0,72.0,221.0,153.0,122.0,144.0,144.0,193.0,203.0,241.0,214.0,187.0,10.0,8.0,8.0,16.0,14.0,4.0,8.0,10.0,19.0,10.0,20.0,8.0
ENSMUSG00000040928,345.0,211.0,282.0,298.0,178.0,211.0,249.0,282.0,316.0,280.0,248.0,223.0,7.0,5.0,6.0,10.0,12.0,3.0,4.0,9.0,9.0,6.0,2.0,14.0
ENSMUSG00000040938,42.0,23.0,58.0,16.0,34.0,15.0,26.0,55.0,33.0,65.0,33.0,53.0,2.0,6.0,2.0,8.0,3.0,0.0,10.0,3.0,3.0,7.0,13.0,3.0
ENSMUSG00000040943,733.0,458.0,769.0,653.0,594.0,457.0,419.0,540.0,521.0,676.0,694.0,626.0,38.0,23.0,23.0,33.0,48.0,22.0,20.0,37.0,30.0,52.0,30.0,7.0
ENSMUSG00000040945,1281.0,556.0,1086.0,670.0,813.0,754.0,561.0,714.0,835.0,1011.0,855.0,964.0,28.0,49.0,37.0,42.0,58.0,21.0,57.0,66.0,26.0,64.0,60.0,19.0
ENSMUSG00000040964,88.0,35.0,67.0,35.0,29.0,60.0,21.0,24.0,42.0,47.0,44.0,43.0,5.0,2.0,0.0,1.0,7.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0
ENSMUSG00000040987,246.0,143.0,198.0,402.0,112.0,191.0,234.0,236.0,217.0,337.0,234.0,216.0,11.0,14.0,12.0,12.0,16.0,11.0,21.0,12.0,13.0,27.0,19.0,8.0
ENSMUSG00000040997,4542.0,1719.0,3582.0,2690.0,2368.0,2297.0,1853.0,2558.0,2990.0,2466.0,2500.0,2337.0,184.0,200.0,161.0,305.0,323.0,157.0,191.0,244.0,226.0,286.0,327.0,167.0
ENSMUSG00000041012,100.0,47.0,119.0,71.0,47.0,49.0,77.0,60.0,56.0,86.0,63.0,95.0,4.0,8.0,3.0,3.0,7.0,6.0,5.0,8.0,3.0,10.0,4.0,6.0
ENSMUSG00000041028,41127.0,16349.0,37881.0,15055.0,21389.0,20601.0,19320.0,20071.0,23845.0,29188.0,23362.0,24221.0,24.0,35.0,18.0,24.0,19.0,7.0,29.0,36.0,19.0,37.0,35.0,9.0
ENSMUSG00000041040,1178.0,393.0,737.0,1048.0,532.0,516.0,484.0,562.0,624.0,577.0,409.0,551.0,30.0,55.0,29.0,31.0,27.0,9.0,41.0,34.0,30.0,25.0,18.0,8.0
ENSMUSG00000041057,809.0,317.0,742.0,450.0,401.0,381.0,387.0,495.0,498.0,525.0,449.0,430.0,17.0,21.0,16.0,22.0,36.0,23.0,25.0,22.0,17.0,25.0,23.0,14.0
ENSMUSG00000041058,3129.0,1655.0,3068.0,2141.0,2075.0,2088.0,1822.0,2614.0,2640.0,2352.0,2379.0,2041.0,43.0,51.0,59.0,65.0,78.0,46.0,74.0,84.0,56.0,103.0,91.0,58.0
