,MBSD_104.counts,MBSD_106.counts,MBSD_110.counts,MBSD_114.counts,MBSD_119.counts,MBSD_123.counts,MBSD_156.counts,MBSD_158.counts,MBSD_162.counts,MBSD_166.counts,MBSD_168.counts,MBSD_173.counts,X177_coldM_geno1,X182_coldM_geno1,X187_coldM_geno1,X192_coldM_geno1,X194_coldM_geno1,X198_coldM_geno1,X177_coldM_geno2,X182_coldM_geno2,X187_coldM_geno2,X192_coldM_geno2,X194_coldM_geno2,X198_coldM_geno2
ENSMUSG00000000056,1055.0,401.0,826.0,734.0,455.0,530.0,659.0,629.0,813.0,953.0,805.0,775.0,34.0,40.0,27.0,50.0,45.0,36.0,40.0,54.0,36.0,59.0,59.0,23.0
ENSMUSG00000000058,3082.0,1384.0,3269.0,908.0,1831.0,1767.0,1313.0,1452.0,1813.0,1985.0,1919.0,1786.0,290.0,301.0,364.0,498.0,544.0,315.0,263.0,273.0,311.0,482.0,484.0,274.0
ENSMUSG00000000078,1951.0,555.0,1478.0,1653.0,834.0,838.0,626.0,555.0,859.0,715.0,650.0,539.0,15.0,30.0,28.0,72.0,64.0,40.0,26.0,39.0,34.0,63.0,64.0,36.0
ENSMUSG00000000088,8673.0,3181.0,6071.0,2428.0,4115.0,3894.0,2530.0,2989.0,3044.0,5598.0,4966.0,5679.0,1289.0,1436.0,902.0,1721.0,1584.0,456.0,1317.0,1409.0,1061.0,1821.0,1675.0,457.0
ENSMUSG00000000120,51.0,27.0,69.0,55.0,40.0,40.0,33.0,53.0,44.0,73.0,30.0,53.0,10.0,8.0,3.0,10.0,11.0,8.0,5.0,12.0,5.0,15.0,16.0,7.0
ENSMUSG00000000142,698.0,357.0,652.0,649.0,472.0,409.0,469.0,640.0,757.0,834.0,454.0,605.0,48.0,53.0,41.0,70.0,58.0,42.0,58.0,66.0,49.0,89.0,56.0,40.0
ENSMUSG00000000148,393.0,169.0,352.0,149.0,247.0,218.0,198.0,264.0,280.0,322.0,266.0,268.0,15.0,17.0,17.0,16.0,25.0,4.0,20.0,30.0,8.0,14.0,25.0,7.0
ENSMUSG00000000149,3092.0,1237.0,2745.0,947.0,1563.0,1443.0,1385.0,1598.0,1840.0,2694.0,2141.0,2161.0,63.0,88.0,37.0,72.0,66.0,31.0,88.0,106.0,65.0,109.0,73.0,36.0
ENSMUSG00000000184,630.0,175.0,435.0,350.0,305.0,477.0,285.0,357.0,559.0,270.0,268.0,291.0,6.0,10.0,20.0,10.0,15.0,3.0,21.0,22.0,13.0,19.0,27.0,13.0
ENSMUSG00000000194,1549.0,608.0,1344.0,774.0,803.0,775.0,679.0,743.0,902.0,1017.0,811.0,873.0,26.0,31.0,33.0,47.0,49.0,30.0,44.0,49.0,28.0,47.0,60.0,29.0
ENSMUSG00000000253,7579.0,2246.0,7477.0,3924.0,3688.0,5041.0,3106.0,2458.0,3720.0,11472.0,7319.0,5100.0,306.0,489.0,198.0,641.0,404.0,243.0,1380.0,1999.0,862.0,2713.0,1761.0,858.0
ENSMUSG00000000275,1110.0,442.0,780.0,703.0,500.0,547.0,533.0,637.0,732.0,839.0,594.0,671.0,46.0,80.0,66.0,78.0,98.0,59.0,75.0,93.0,90.0,109.0,108.0,75.0
ENSMUSG00000000276,610.0,307.0,643.0,297.0,370.0,321.0,334.0,378.0,375.0,404.0,287.0,356.0,10.0,10.0,12.0,21.0,32.0,19.0,22.0,15.0,23.0,19.0,18.0,23.0
ENSMUSG00000000278,1035.0,414.0,1101.0,701.0,601.0,541.0,619.0,655.0,749.0,1068.0,866.0,799.0,9.0,15.0,7.0,17.0,26.0,10.0,7.0,18.0,7.0,17.0,15.0,6.0
ENSMUSG00000000290,155.0,43.0,104.0,112.0,50.0,70.0,64.0,94.0,120.0,87.0,105.0,154.0,16.0,10.0,7.0,18.0,38.0,15.0,23.0,7.0,15.0,29.0,47.0,4.0
ENSMUSG00000000339,1143.0,428.0,1061.0,487.0,576.0,560.0,301.0,342.0,429.0,452.0,443.0,438.0,49.0,60.0,55.0,67.0,48.0,75.0,34.0,59.0,43.0,60.0,66.0,43.0
ENSMUSG00000000340,9925.0,3825.0,11845.0,6508.0,5401.0,5265.0,5355.0,5572.0,7728.0,8867.0,5746.0,5605.0,296.0,379.0,301.0,462.0,408.0,335.0,332.0,362.0,333.0,392.0,422.0,299.0
ENSMUSG00000000378,596.0,227.0,378.0,276.0,352.0,326.0,264.0,374.0,408.0,529.0,503.0,434.0,25.0,34.0,16.0,32.0,29.0,19.0,32.0,47.0,18.0,42.0,29.0,14.0
ENSMUSG00000000384,3573.0,1356.0,2858.0,1772.0,1724.0,1667.0,1528.0,1709.0,2251.0,2482.0,2098.0,2124.0,282.0,377.0,246.0,360.0,346.0,192.0,309.0,400.0,316.0,471.0,420.0,243.0
ENSMUSG00000000420,3263.0,1481.0,2986.0,1737.0,2114.0,2058.0,1165.0,1403.0,1874.0,1594.0,1529.0,1469.0,124.0,115.0,137.0,210.0,235.0,154.0,139.0,111.0,101.0,170.0,166.0,120.0
ENSMUSG00000000439,1208.0,502.0,1104.0,434.0,610.0,600.0,472.0,589.0,604.0,725.0,572.0,572.0,35.0,41.0,32.0,54.0,50.0,22.0,30.0,34.0,20.0,47.0,44.0,41.0
ENSMUSG00000000440,8094.0,2878.0,5448.0,4936.0,4068.0,4174.0,3994.0,4593.0,5513.0,5614.0,4455.0,4485.0,178.0,188.0,101.0,241.0,212.0,115.0,187.0,207.0,136.0,224.0,194.0,125.0
ENSMUSG00000000441,2280.0,833.0,1634.0,813.0,930.0,994.0,805.0,959.0,1099.0,1178.0,1028.0,1050.0,46.0,28.0,38.0,51.0,46.0,33.0,27.0,52.0,46.0,50.0,47.0,22.0
ENSMUSG00000000530,1191.0,439.0,817.0,684.0,549.0,523.0,505.0,607.0,753.0,925.0,677.0,811.0,46.0,45.0,25.0,66.0,61.0,15.0,39.0,42.0,33.0,66.0,61.0,13.0
ENSMUSG00000000531,246.0,99.0,183.0,234.0,115.0,112.0,100.0,92.0,117.0,104.0,84.0,118.0,11.0,15.0,11.0,15.0,4.0,7.0,4.0,7.0,8.0,7.0,6.0,2.0
ENSMUSG00000000532,262.0,145.0,244.0,128.0,189.0,138.0,136.0,138.0,168.0,175.0,159.0,164.0,15.0,13.0,21.0,30.0,25.0,13.0,19.0,18.0,15.0,20.0,29.0,12.0
ENSMUSG00000000568,1459.0,682.0,1170.0,821.0,899.0,882.0,818.0,981.0,1100.0,1009.0,892.0,876.0,29.0,30.0,46.0,41.0,53.0,33.0,38.0,28.0,52.0,51.0,47.0,33.0
ENSMUSG00000000581,649.0,286.0,743.0,129.0,386.0,359.0,233.0,237.0,283.0,395.0,360.0,307.0,5.0,9.0,5.0,16.0,14.0,10.0,17.0,9.0,5.0,26.0,7.0,3.0
ENSMUSG00000000594,2215.0,994.0,2091.0,1910.0,1421.0,1469.0,1318.0,1676.0,1801.0,1537.0,1401.0,1511.0,3.0,7.0,0.0,5.0,4.0,1.0,7.0,5.0,2.0,18.0,14.0,0.0
ENSMUSG00000000628,33238.0,13900.0,29270.0,19982.0,18045.0,18987.0,15810.0,16348.0,21347.0,21946.0,15344.0,17795.0,1388.0,1775.0,1037.0,2738.0,3218.0,947.0,1232.0,1631.0,989.0,1369.0,1452.0,849.0
ENSMUSG00000000631,4650.0,2235.0,4197.0,2739.0,2619.0,2705.0,1764.0,1924.0,2428.0,2695.0,2207.0,2257.0,123.0,145.0,124.0,204.0,164.0,88.0,108.0,145.0,99.0,147.0,136.0,64.0
ENSMUSG00000000708,2964.0,1634.0,2715.0,1667.0,1994.0,1797.0,1361.0,1524.0,2064.0,1903.0,1774.0,1601.0,48.0,34.0,61.0,74.0,78.0,63.0,53.0,41.0,32.0,76.0,81.0,50.0
ENSMUSG00000000738,3436.0,1269.0,3396.0,1337.0,1784.0,1573.0,1628.0,1898.0,2381.0,2594.0,2407.0,2518.0,44.0,32.0,25.0,30.0,48.0,22.0,55.0,48.0,21.0,75.0,30.0,13.0
ENSMUSG00000000740,3656.0,1361.0,2866.0,1430.0,1885.0,1644.0,1550.0,1723.0,1649.0,2417.0,1985.0,2179.0,247.0,292.0,171.0,272.0,251.0,135.0,248.0,273.0,171.0,341.0,283.0,118.0
ENSMUSG00000000743,1619.0,612.0,1181.0,512.0,897.0,811.0,548.0,571.0,721.0,1050.0,973.0,937.0,40.0,36.0,40.0,66.0,49.0,25.0,29.0,49.0,33.0,41.0,42.0,18.0
ENSMUSG00000000751,830.0,409.0,781.0,346.0,536.0,463.0,387.0,475.0,519.0,642.0,569.0,551.0,19.0,15.0,16.0,20.0,17.0,18.0,22.0,16.0,16.0,19.0,19.0,12.0
ENSMUSG00000000759,882.0,385.0,720.0,498.0,524.0,498.0,432.0,515.0,601.0,665.0,536.0,582.0,32.0,38.0,21.0,54.0,37.0,29.0,36.0,29.0,27.0,54.0,32.0,20.0
ENSMUSG00000000776,403.0,140.0,312.0,306.0,194.0,187.0,263.0,292.0,324.0,309.0,308.0,275.0,66.0,83.0,55.0,48.0,65.0,56.0,21.0,28.0,45.0,81.0,67.0,45.0
ENSMUSG00000000811,655.0,262.0,660.0,357.0,362.0,380.0,266.0,222.0,369.0,292.0,338.0,257.0,26.0,41.0,17.0,37.0,40.0,27.0,27.0,32.0,25.0,46.0,37.0,20.0
ENSMUSG00000000826,3803.0,1593.0,3626.0,2034.0,2154.0,1980.0,1599.0,1892.0,2470.0,2615.0,2536.0,2206.0,123.0,161.0,92.0,159.0,173.0,65.0,123.0,119.0,88.0,193.0,130.0,80.0
ENSMUSG00000000876,1877.0,815.0,1618.0,1341.0,1097.0,1251.0,956.0,1128.0,1318.0,1307.0,1287.0,1273.0,143.0,194.0,181.0,253.0,260.0,215.0,183.0,201.0,167.0,260.0,264.0,166.0
ENSMUSG00000000902,1124.0,461.0,873.0,477.0,624.0,548.0,564.0,648.0,807.0,756.0,696.0,750.0,52.0,71.0,49.0,79.0,79.0,46.0,57.0,76.0,59.0,88.0,87.0,50.0
ENSMUSG00000000957,269.0,149.0,279.0,262.0,140.0,212.0,162.0,174.0,209.0,136.0,124.0,208.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0
ENSMUSG00000000976,584.0,246.0,439.0,388.0,337.0,354.0,302.0,394.0,453.0,520.0,383.0,462.0,8.0,10.0,10.0,11.0,15.0,5.0,12.0,5.0,4.0,10.0,13.0,7.0
ENSMUSG00000001029,564.0,125.0,358.0,299.0,205.0,227.0,190.0,205.0,267.0,299.0,254.0,316.0,17.0,15.0,13.0,4.0,25.0,10.0,12.0,9.0,7.0,14.0,8.0,15.0
ENSMUSG00000001052,1320.0,661.0,1092.0,1211.0,734.0,769.0,677.0,967.0,1194.0,1122.0,1001.0,1040.0,47.0,64.0,44.0,53.0,93.0,33.0,58.0,77.0,32.0,88.0,75.0,51.0
ENSMUSG00000001054,554.0,208.0,402.0,207.0,303.0,257.0,168.0,216.0,241.0,328.0,291.0,288.0,51.0,59.0,52.0,66.0,96.0,36.0,60.0,56.0,32.0,58.0,67.0,37.0
ENSMUSG00000001062,849.0,298.0,671.0,445.0,450.0,431.0,322.0,336.0,374.0,544.0,433.0,471.0,23.0,16.0,22.0,29.0,28.0,19.0,23.0,20.0,20.0,19.0,26.0,13.0
ENSMUSG00000001065,318.0,109.0,280.0,166.0,145.0,142.0,116.0,205.0,178.0,313.0,192.0,245.0,11.0,21.0,17.0,25.0,30.0,15.0,17.0,25.0,26.0,27.0,27.0,6.0
ENSMUSG00000001089,4093.0,1410.0,2961.0,3504.0,1972.0,2199.0,1448.0,1986.0,2106.0,2206.0,1673.0,1856.0,147.0,161.0,142.0,220.0,243.0,147.0,170.0,158.0,135.0,201.0,234.0,142.0
ENSMUSG00000001105,782.0,251.0,759.0,354.0,423.0,341.0,387.0,405.0,456.0,563.0,480.0,521.0,36.0,43.0,39.0,52.0,56.0,22.0,30.0,36.0,20.0,58.0,67.0,14.0
ENSMUSG00000001119,1468.0,636.0,1510.0,1530.0,799.0,899.0,991.0,1123.0,1377.0,984.0,1249.0,1469.0,134.0,135.0,141.0,122.0,203.0,75.0,136.0,141.0,105.0,169.0,224.0,81.0
ENSMUSG00000001120,325.0,127.0,206.0,289.0,124.0,191.0,190.0,199.0,220.0,221.0,194.0,175.0,19.0,17.0,24.0,27.0,14.0,25.0,15.0,14.0,24.0,17.0,29.0,23.0
ENSMUSG00000001123,2363.0,849.0,1580.0,2072.0,943.0,1021.0,1444.0,1419.0,1580.0,1395.0,1300.0,1343.0,38.0,45.0,40.0,61.0,72.0,49.0,51.0,57.0,41.0,65.0,54.0,50.0
ENSMUSG00000001138,697.0,266.0,625.0,377.0,401.0,378.0,316.0,401.0,423.0,518.0,414.0,492.0,43.0,59.0,33.0,75.0,60.0,24.0,50.0,52.0,21.0,43.0,59.0,19.0
ENSMUSG00000001143,1573.0,700.0,1345.0,847.0,1060.0,958.0,553.0,800.0,773.0,1231.0,799.0,895.0,104.0,161.0,79.0,186.0,188.0,75.0,87.0,141.0,57.0,152.0,145.0,66.0
ENSMUSG00000001150,1045.0,421.0,1032.0,409.0,663.0,633.0,574.0,661.0,796.0,1094.0,738.0,918.0,49.0,63.0,41.0,71.0,79.0,40.0,57.0,68.0,41.0,74.0,75.0,50.0
ENSMUSG00000001151,722.0,378.0,620.0,480.0,455.0,465.0,370.0,469.0,542.0,761.0,539.0,560.0,47.0,46.0,42.0,81.0,65.0,25.0,43.0,30.0,24.0,79.0,48.0,34.0
ENSMUSG00000001175,13492.0,5189.0,13430.0,6322.0,6608.0,6355.0,5613.0,6506.0,8509.0,8033.0,6347.0,6695.0,182.0,214.0,155.0,207.0,234.0,137.0,212.0,212.0,181.0,243.0,238.0,142.0
ENSMUSG00000001211,24287.0,9500.0,23140.0,15713.0,12744.0,12966.0,9753.0,10231.0,12655.0,15665.0,12201.0,13592.0,951.0,1054.0,1042.0,1538.0,1573.0,1007.0,947.0,1047.0,961.0,1481.0,1381.0,916.0
ENSMUSG00000001229,1422.0,577.0,1199.0,725.0,751.0,737.0,414.0,578.0,647.0,863.0,665.0,734.0,32.0,78.0,34.0,43.0,58.0,18.0,29.0,52.0,19.0,47.0,44.0,11.0
ENSMUSG00000001240,772.0,224.0,551.0,271.0,278.0,334.0,242.0,296.0,293.0,404.0,305.0,317.0,37.0,47.0,40.0,86.0,78.0,44.0,53.0,56.0,49.0,84.0,70.0,54.0
ENSMUSG00000001248,1232.0,602.0,1285.0,653.0,795.0,645.0,523.0,671.0,714.0,776.0,699.0,700.0,110.0,127.0,57.0,76.0,154.0,69.0,11.0,13.0,2.0,71.0,12.0,6.0
ENSMUSG00000001280,1787.0,896.0,1746.0,1173.0,1111.0,1190.0,1199.0,1512.0,1586.0,1673.0,1430.0,1553.0,41.0,18.0,23.0,49.0,51.0,32.0,34.0,26.0,29.0,58.0,51.0,11.0
ENSMUSG00000001288,677.0,290.0,682.0,549.0,390.0,399.0,310.0,462.0,368.0,499.0,321.0,440.0,60.0,57.0,38.0,54.0,85.0,25.0,46.0,53.0,57.0,66.0,81.0,23.0
ENSMUSG00000001323,1100.0,424.0,871.0,497.0,625.0,646.0,400.0,572.0,670.0,681.0,625.0,695.0,42.0,37.0,45.0,75.0,68.0,28.0,23.0,47.0,30.0,46.0,57.0,22.0
ENSMUSG00000001334,71.0,43.0,137.0,44.0,55.0,105.0,89.0,220.0,149.0,290.0,131.0,139.0,1.0,7.0,2.0,1.0,0.0,0.0,20.0,29.0,20.0,18.0,25.0,11.0
ENSMUSG00000001348,2332.0,925.0,2010.0,1609.0,1452.0,1292.0,1662.0,2023.0,2333.0,3207.0,2328.0,2931.0,72.0,112.0,50.0,83.0,113.0,72.0,140.0,191.0,92.0,155.0,178.0,91.0
ENSMUSG00000001366,2348.0,982.0,2079.0,1163.0,1307.0,1267.0,1095.0,1190.0,1511.0,1603.0,1429.0,1304.0,113.0,94.0,98.0,188.0,163.0,126.0,91.0,129.0,110.0,168.0,162.0,93.0
ENSMUSG00000001380,1144.0,460.0,964.0,458.0,579.0,540.0,545.0,715.0,756.0,826.0,667.0,737.0,3.0,3.0,30.0,45.0,14.0,31.0,38.0,33.0,30.0,28.0,36.0,21.0
ENSMUSG00000001415,4515.0,1493.0,3763.0,1767.0,2142.0,2156.0,1671.0,1324.0,2121.0,1867.0,1977.0,2160.0,13.0,11.0,9.0,2.0,3.0,4.0,4.0,10.0,3.0,9.0,11.0,6.0
ENSMUSG00000001418,2152.0,760.0,1750.0,1008.0,948.0,1049.0,981.0,1018.0,1096.0,1320.0,1111.0,1258.0,40.0,32.0,22.0,41.0,39.0,14.0,33.0,23.0,16.0,31.0,33.0,23.0
ENSMUSG00000001419,5317.0,2473.0,4018.0,7826.0,2802.0,3065.0,3047.0,3053.0,4159.0,3941.0,3105.0,3476.0,19.0,25.0,30.0,36.0,16.0,14.0,18.0,26.0,20.0,26.0,22.0,12.0
ENSMUSG00000001420,4880.0,1758.0,3326.0,2364.0,2032.0,2429.0,2068.0,1875.0,2353.0,1513.0,2054.0,2245.0,16.0,30.0,18.0,19.0,20.0,15.0,20.0,23.0,28.0,35.0,33.0,16.0
ENSMUSG00000001424,1327.0,577.0,1185.0,626.0,814.0,680.0,543.0,689.0,783.0,962.0,731.0,857.0,34.0,44.0,38.0,38.0,51.0,19.0,30.0,33.0,27.0,39.0,32.0,22.0
ENSMUSG00000001435,507.0,145.0,501.0,269.0,260.0,212.0,390.0,377.0,537.0,500.0,512.0,464.0,7.0,13.0,7.0,10.0,9.0,0.0,12.0,10.0,13.0,21.0,26.0,14.0
ENSMUSG00000001436,1184.0,408.0,911.0,488.0,717.0,570.0,478.0,624.0,835.0,910.0,627.0,777.0,59.0,92.0,27.0,67.0,87.0,40.0,82.0,113.0,51.0,58.0,88.0,46.0
ENSMUSG00000001441,2255.0,1154.0,1983.0,1494.0,1451.0,1354.0,1087.0,1310.0,1524.0,1644.0,1301.0,1404.0,23.0,28.0,25.0,33.0,44.0,38.0,32.0,31.0,37.0,28.0,49.0,35.0
ENSMUSG00000001445,4428.0,1777.0,3638.0,3641.0,2145.0,2397.0,1595.0,2014.0,2388.0,2467.0,2042.0,2154.0,19.0,30.0,8.0,20.0,32.0,5.0,19.0,20.0,10.0,20.0,29.0,17.0
ENSMUSG00000001467,3976.0,1461.0,2942.0,2392.0,1954.0,2513.0,1685.0,1656.0,1889.0,1559.0,1356.0,1685.0,379.0,389.0,285.0,503.0,525.0,286.0,462.0,404.0,360.0,521.0,652.0,315.0
ENSMUSG00000001472,7516.0,3195.0,5801.0,4570.0,4088.0,4017.0,3569.0,4082.0,4998.0,5091.0,4294.0,4595.0,78.0,105.0,56.0,111.0,106.0,64.0,97.0,104.0,70.0,119.0,123.0,85.0
ENSMUSG00000001473,900.0,352.0,565.0,458.0,333.0,431.0,559.0,507.0,527.0,650.0,380.0,575.0,23.0,16.0,18.0,32.0,22.0,9.0,35.0,32.0,17.0,43.0,32.0,20.0
ENSMUSG00000001482,1150.0,387.0,1007.0,498.0,575.0,590.0,566.0,730.0,744.0,893.0,761.0,760.0,65.0,106.0,62.0,107.0,87.0,46.0,77.0,116.0,69.0,144.0,155.0,60.0
ENSMUSG00000001506,1893.0,1216.0,1806.0,3759.0,1154.0,2272.0,734.0,1233.0,1575.0,992.0,1555.0,2079.0,84.0,63.0,48.0,55.0,109.0,19.0,116.0,82.0,45.0,60.0,136.0,13.0
ENSMUSG00000001521,259.0,121.0,256.0,266.0,125.0,128.0,138.0,179.0,226.0,255.0,164.0,187.0,13.0,18.0,6.0,23.0,15.0,8.0,20.0,14.0,10.0,19.0,26.0,10.0
ENSMUSG00000001524,258.0,99.0,233.0,121.0,196.0,112.0,147.0,185.0,192.0,235.0,261.0,219.0,32.0,50.0,32.0,43.0,63.0,28.0,53.0,52.0,40.0,79.0,63.0,20.0
ENSMUSG00000001525,2354.0,960.0,1952.0,1271.0,1119.0,1286.0,1162.0,1395.0,1439.0,1582.0,1407.0,1495.0,12.0,22.0,20.0,24.0,31.0,9.0,20.0,13.0,11.0,17.0,21.0,14.0
ENSMUSG00000001542,2559.0,891.0,1854.0,1678.0,1406.0,1350.0,1386.0,1479.0,2104.0,1864.0,1491.0,1381.0,27.0,29.0,26.0,52.0,44.0,38.0,47.0,39.0,30.0,41.0,23.0,18.0
ENSMUSG00000001552,1936.0,1043.0,1663.0,1243.0,1296.0,1328.0,1202.0,1276.0,1521.0,2028.0,1437.0,1603.0,28.0,40.0,25.0,46.0,48.0,8.0,28.0,24.0,34.0,32.0,31.0,7.0
ENSMUSG00000001569,678.0,294.0,580.0,545.0,401.0,388.0,565.0,677.0,849.0,767.0,628.0,638.0,70.0,66.0,41.0,86.0,69.0,49.0,99.0,86.0,73.0,132.0,91.0,80.0
ENSMUSG00000001576,5537.0,2071.0,4476.0,3348.0,3124.0,3126.0,3089.0,3719.0,4477.0,4446.0,3571.0,3713.0,452.0,543.0,446.0,739.0,642.0,378.0,426.0,525.0,420.0,798.0,593.0,389.0
ENSMUSG00000001630,1349.0,561.0,1167.0,680.0,801.0,649.0,607.0,724.0,691.0,580.0,527.0,599.0,22.0,35.0,31.0,52.0,35.0,22.0,32.0,27.0,27.0,32.0,30.0,23.0
ENSMUSG00000001632,1156.0,515.0,913.0,810.0,624.0,596.0,681.0,733.0,893.0,927.0,793.0,804.0,16.0,33.0,12.0,28.0,31.0,12.0,16.0,25.0,20.0,34.0,15.0,16.0
ENSMUSG00000001642,1405.0,602.0,1010.0,512.0,727.0,567.0,750.0,919.0,1225.0,1143.0,972.0,966.0,108.0,119.0,74.0,150.0,134.0,85.0,67.0,96.0,95.0,161.0,145.0,84.0
ENSMUSG00000001663,311.0,96.0,193.0,106.0,112.0,111.0,417.0,446.0,513.0,821.0,476.0,635.0,20.0,38.0,25.0,31.0,52.0,19.0,122.0,177.0,90.0,186.0,200.0,124.0
ENSMUSG00000001665,78.0,38.0,108.0,29.0,29.0,48.0,44.0,63.0,63.0,66.0,62.0,44.0,4.0,14.0,6.0,7.0,11.0,7.0,22.0,14.0,9.0,19.0,17.0,6.0
ENSMUSG00000001666,1133.0,273.0,728.0,871.0,308.0,394.0,523.0,520.0,673.0,896.0,568.0,756.0,26.0,32.0,30.0,59.0,46.0,32.0,21.0,16.0,9.0,19.0,18.0,13.0
ENSMUSG00000001700,359.0,136.0,303.0,151.0,209.0,212.0,156.0,153.0,239.0,221.0,214.0,166.0,35.0,44.0,41.0,55.0,64.0,44.0,22.0,29.0,34.0,44.0,37.0,34.0
ENSMUSG00000001707,308.0,154.0,218.0,110.0,182.0,153.0,154.0,181.0,195.0,272.0,186.0,164.0,28.0,27.0,34.0,42.0,38.0,32.0,20.0,24.0,2.0,45.0,54.0,2.0
ENSMUSG00000001729,4927.0,1966.0,3804.0,2582.0,2880.0,2639.0,1298.0,1633.0,1872.0,2232.0,1964.0,1878.0,90.0,123.0,105.0,135.0,133.0,74.0,93.0,109.0,113.0,136.0,148.0,87.0
ENSMUSG00000001751,328.0,130.0,310.0,149.0,179.0,191.0,125.0,138.0,209.0,239.0,189.0,219.0,12.0,6.0,15.0,20.0,20.0,4.0,14.0,9.0,8.0,29.0,18.0,6.0
ENSMUSG00000001755,7376.0,3123.0,5721.0,3307.0,3758.0,3805.0,2417.0,2485.0,3207.0,3118.0,2779.0,3001.0,262.0,228.0,211.0,282.0,248.0,140.0,269.0,272.0,188.0,312.0,283.0,143.0
ENSMUSG00000001767,571.0,228.0,524.0,271.0,327.0,333.0,329.0,399.0,422.0,425.0,384.0,384.0,52.0,45.0,44.0,69.0,98.0,47.0,29.0,56.0,35.0,58.0,100.0,29.0
ENSMUSG00000001768,1582.0,553.0,1453.0,932.0,929.0,844.0,592.0,666.0,882.0,810.0,815.0,761.0,40.0,39.0,41.0,65.0,94.0,19.0,47.0,38.0,43.0,60.0,84.0,43.0
ENSMUSG00000001774,2627.0,928.0,1970.0,1664.0,1523.0,1731.0,1070.0,1341.0,1414.0,2166.0,1117.0,1416.0,11.0,23.0,13.0,37.0,37.0,21.0,15.0,24.0,15.0,32.0,21.0,8.0
ENSMUSG00000001783,2140.0,766.0,1903.0,738.0,918.0,890.0,842.0,865.0,915.0,1267.0,1015.0,1083.0,104.0,110.0,83.0,106.0,106.0,86.0,92.0,102.0,71.0,135.0,109.0,71.0
ENSMUSG00000001785,417.0,199.0,369.0,196.0,233.0,223.0,228.0,249.0,313.0,270.0,317.0,286.0,59.0,59.0,60.0,67.0,76.0,46.0,51.0,53.0,40.0,66.0,82.0,43.0
ENSMUSG00000001786,375.0,141.0,325.0,141.0,169.0,189.0,86.0,117.0,131.0,111.0,120.0,109.0,14.0,16.0,13.0,19.0,13.0,7.0,8.0,5.0,4.0,21.0,13.0,10.0
ENSMUSG00000001794,11348.0,4547.0,7662.0,10843.0,5330.0,5454.0,4818.0,5763.0,6607.0,5828.0,5184.0,5180.0,1580.0,1583.0,1447.0,1533.0,2230.0,1154.0,1273.0,1179.0,1441.0,1293.0,2112.0,1180.0
ENSMUSG00000001802,486.0,205.0,421.0,318.0,407.0,320.0,362.0,442.0,567.0,733.0,519.0,692.0,29.0,48.0,19.0,43.0,49.0,15.0,69.0,106.0,46.0,81.0,105.0,48.0
ENSMUSG00000001829,4214.0,1666.0,3286.0,1851.0,2290.0,2194.0,2043.0,2454.0,2661.0,3469.0,2954.0,3253.0,17.0,24.0,33.0,53.0,36.0,23.0,24.0,32.0,22.0,32.0,39.0,22.0
ENSMUSG00000001844,792.0,298.0,684.0,523.0,437.0,395.0,376.0,468.0,539.0,496.0,479.0,454.0,45.0,60.0,49.0,91.0,84.0,77.0,56.0,84.0,73.0,103.0,97.0,68.0
ENSMUSG00000001847,5226.0,2104.0,4353.0,4783.0,2759.0,2866.0,2656.0,3354.0,3824.0,3248.0,2877.0,3003.0,99.0,129.0,78.0,139.0,89.0,14.0,108.0,153.0,89.0,121.0,123.0,26.0
ENSMUSG00000001855,696.0,320.0,649.0,672.0,436.0,424.0,383.0,516.0,604.0,617.0,493.0,561.0,68.0,52.0,46.0,72.0,77.0,30.0,38.0,42.0,37.0,80.0,90.0,28.0
ENSMUSG00000001870,422.0,177.0,402.0,272.0,153.0,295.0,199.0,251.0,271.0,288.0,211.0,362.0,7.0,11.0,18.0,21.0,26.0,14.0,14.0,6.0,10.0,14.0,16.0,6.0
ENSMUSG00000001891,13749.0,6555.0,11710.0,5709.0,6816.0,6456.0,5450.0,5841.0,6909.0,6363.0,6028.0,5066.0,1.0,2.0,5.0,17.0,4.0,14.0,0.0,4.0,10.0,23.0,0.0,5.0
ENSMUSG00000001911,4729.0,2564.0,4579.0,8174.0,3111.0,3109.0,2768.0,3445.0,3508.0,2939.0,2734.0,2934.0,16.0,28.0,12.0,36.0,29.0,13.0,21.0,31.0,15.0,24.0,17.0,5.0
ENSMUSG00000001930,857.0,354.0,1042.0,543.0,430.0,422.0,333.0,480.0,541.0,809.0,478.0,554.0,52.0,61.0,24.0,61.0,63.0,23.0,27.0,50.0,44.0,42.0,61.0,24.0
ENSMUSG00000001942,722.0,308.0,642.0,445.0,453.0,439.0,415.0,408.0,466.0,515.0,427.0,435.0,36.0,69.0,40.0,61.0,62.0,47.0,61.0,38.0,26.0,62.0,73.0,47.0
ENSMUSG00000001943,343.0,76.0,207.0,167.0,109.0,134.0,129.0,155.0,185.0,253.0,181.0,182.0,35.0,46.0,23.0,42.0,28.0,23.0,19.0,37.0,19.0,46.0,48.0,14.0
ENSMUSG00000001946,1730.0,658.0,1334.0,580.0,822.0,791.0,626.0,692.0,723.0,1225.0,858.0,997.0,23.0,19.0,25.0,32.0,38.0,15.0,25.0,22.0,15.0,35.0,23.0,17.0
